timestamp,vehicle_count,speed,cyclist_presence,time_of_day,day_of_week,lag_vehicle_count,time_of_day_sin,time_of_day_cos,day_of_week_sin,day_of_week_cos,pred_vehicle_count,pred_speed,pred_cyclist_presence,split
2025-01-01 00:00:00,0.1333333333333333,0.864410625177711,0,0.0,2,0.0,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.3111111111111111,0.8213724113502942,0,train
2025-01-01 00:15:00,0.3111111111111111,0.8213724113502942,0,0.0,2,0.22,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.1333333333333333,0.6305738266437667,0,train
2025-01-01 00:30:00,0.1333333333333333,0.6305738266437667,0,0.0,2,0.38,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.2222222222222222,0.6395190660879093,0,train
2025-01-01 00:45:00,0.2222222222222222,0.6395190660879093,0,0.0,2,0.22,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.0666666666666666,0.4285706416214592,0,train
2025-01-01 01:00:00,0.0666666666666666,0.4285706416214592,0,0.0434782608695652,2,0.3,0.2588190451025207,0.9659258262890684,0.9749279121818236,-0.2225209339563143,0.0444444444444444,0.3470386408373408,0,train
2025-01-01 01:15:00,0.0444444444444444,0.3470386408373408,0,0.0434782608695652,2,0.16,0.2588190451025207,0.9659258262890684,0.9749279121818236,-0.2225209339563143,0.0222222222222222,0.814708110681314,0,train
2025-01-01 01:30:00,0.0222222222222222,0.814708110681314,0,0.0434782608695652,2,0.14,0.2588190451025207,0.9659258262890684,0.9749279121818236,-0.2225209339563143,0.1111111111111111,0.3338331290346468,0,train
2025-01-01 01:45:00,0.1111111111111111,0.3338331290346468,0,0.0434782608695652,2,0.12,0.2588190451025207,0.9659258262890684,0.9749279121818236,-0.2225209339563143,0.0,0.5361680513740688,0,train
2025-01-01 02:00:00,0.0,0.5361680513740688,0,0.0869565217391304,2,0.2,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,0.2444444444444444,0.3486908064611476,0,train
2025-01-01 02:15:00,0.2444444444444444,0.3486908064611476,0,0.0869565217391304,2,0.1,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,0.2,0.3644283159890756,0,train
